Gender,Married,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status
-0.06351328,-0.123687096,0.051896613,0.16913636,-0.09801678,-0.16308545,-0.00047785413,0.11512511
0.01769199,-0.09460609,0.18869388,0.074604094,0.14212254,-0.026889166,0.08844441,-0.025951548
-0.017926129,-0.009031035,0.076318644,0.15258679,-0.06479052,0.34002215,0.05027254,0.0021166843
0.009736488,-0.10131438,0.049664605,0.2609842,-0.09047792,-0.018895034,0.006232751,0.0927819
-0.11139682,0.09304066,0.05397025,0.16437007,-0.12751286,-0.033405658,0.05265739,0.025810208
0.07739947,-0.004036591,0.27647212,0.13157335,0.006852393,-0.3387736,-0.064967826,-0.17867066
0.07014999,-0.23551081,0.1232478,0.08723872,-0.0036154187,0.11544118,0.056590267,0.017196994
-0.011373927,-0.05841229,0.16922073,-0.0644194,0.13363352,-0.28258747,-0.18433209,0.05046125
-0.07916856,-0.10758587,-0.09344108,-0.0410654,-0.07134662,0.21128082,-0.2326445,0.14794517
-0.24819599,-0.3749876,0.2317401,0.06636295,-0.34114698,-0.019015448,-0.10424946,-0.0021982642
-0.15407577,-0.0053438894,0.19061114,0.22128393,-0.22078574,0.055749062,-0.0019895986,0.022296831
0.12615076,-0.22330637,0.12362795,0.22300865,-0.00029538386,-0.13944973,-0.110016316,0.084521785
-0.04569757,0.0073236036,0.23814715,0.33577794,-0.28094354,0.033318836,-0.0791737,-0.083518475
0.013287052,-0.10269293,0.09455128,0.31413302,-0.30515322,-0.15500298,0.078310035,0.23146075
-0.069697194,0.26986417,0.03738448,0.39790565,-0.2761879,0.07512351,0.21531802,0.3210385
0.04233766,-0.023579651,0.21851477,-0.004854872,-0.0934911,0.023935467,0.0061147716,0.06928007
-0.14409673,-0.15868366,0.16347544,0.339738,-0.27603495,0.15006562,0.046968903,0.103428796
0.09936665,-0.12463909,0.34135965,0.040694185,-0.12538543,0.1628762,-0.18366534,0.13460359
-0.07932104,-0.47636965,0.4807528,0.13946886,-0.112763524,0.049186867,-0.34868836,-0.015921662
-0.0012250686,-0.008719224,0.15256754,0.0029282337,0.080544375,0.12361952,-0.1654933,0.13171266
-0.088849664,0.026732285,0.04539201,0.18267056,-0.25328824,0.10728019,0.06777987,0.093174525
0.072445095,-0.26749703,0.090495594,0.38299492,-0.16092798,0.14835167,0.06638036,0.0849126
-0.10273445,-0.04136487,0.025479235,0.17510276,-0.18709767,-0.056474984,-0.056053236,0.14814475
-0.040208463,-0.05361374,0.15090853,0.22888887,-0.103829496,-0.012968958,0.1517108,-0.04149117
-0.28032053,-0.18316813,0.40655735,0.5097589,-0.4704015,0.060774896,-0.098015964,-0.16157596
-0.13014425,-0.2855476,0.5121046,0.13426498,-0.14686026,-0.07817359,0.010997418,-0.051083867
-0.21637455,-0.06827538,0.20041335,0.09253208,-0.06322119,-0.07936951,0.06199768,0.053826977
-0.071002565,-0.067415096,0.12515864,0.003976909,-0.07515549,-0.17388801,0.04963586,0.08580337
-0.35788274,0.035362437,0.02192457,0.20575625,-0.021626914,-0.24086821,-0.038052797,0.08427701
-0.12945634,-0.072724275,0.20091012,0.0021776895,-0.0040357527,-0.057436395,0.08109818,0.07676307
-0.25251207,0.048966583,0.17083342,0.0700544,-0.19746602,-0.026179912,0.13882235,0.08324879
-0.23622048,-0.08500176,0.3887754,0.54267156,-0.33030507,0.07588077,0.14664179,0.0072099958
-0.17788349,0.080592014,0.029852653,0.2870293,-0.2714421,-0.115456074,-0.0650022,0.22974472
-0.039565787,-0.2067898,0.2800127,0.2606252,0.023758529,-0.08573223,0.04443379,-0.051905677
-0.0898699,0.08239906,0.32346448,0.10684753,0.083550245,-0.4055048,-0.11065381,-0.090888605
-0.20584515,-0.001809997,0.13828148,0.23077935,-0.11333399,-0.11066467,0.12783042,0.03985025
-0.19805302,-0.03459103,0.11564834,0.08645906,-0.167461,-0.035245843,0.015939986,0.08855166
-0.18791312,-0.19090131,0.052884635,0.14249954,-0.10848465,0.23528408,-0.1588897,0.12477755
-0.17974633,-0.0047178366,0.17246568,0.27653784,-0.22495157,-0.03864144,0.034337502,-0.14129454
-0.0040569827,-0.14252985,0.19860618,0.3313126,-0.6410065,0.64998263,-0.16730414,0.087048315
-0.050175063,-0.17789029,0.26752305,0.28892994,-0.07169171,-0.2242589,0.15322985,0.10750692
-0.29354498,0.021765042,0.15018824,-0.05555114,-0.22602287,-0.12195213,0.13362198,0.13954403
-0.11520051,0.23178925,0.08721891,0.2669172,-0.028300388,0.19881634,0.19757496,0.08047127
-0.1357157,-0.15848117,0.08325659,0.14969863,-0.056659598,0.036118444,0.013526255,-0.020433346
-0.018381443,-0.0040115425,-0.03603295,0.23049065,-0.0588747,0.06140436,-0.06358098,0.22338453
-0.18481341,0.14815497,0.08848746,0.30258438,-0.06988381,-0.2693376,0.012080484,0.016495818
0.025791505,-0.050055254,0.09542593,0.19586799,-0.1588589,0.30631655,-0.08324257,0.08085118
-0.051412,-0.109356575,0.4108934,0.09418398,-0.04100902,-0.4271541,-0.077305265,-0.15226991
-0.058861803,-0.20931654,-0.012894214,-0.03202063,-0.16071518,0.18342105,-0.4251353,0.27220848
-0.0040886584,-0.2992624,0.054382306,0.02356848,0.020802211,0.08236491,-0.1960768,0.08421871
0.1117638,-0.1472907,0.16841564,0.299135,-0.0022184215,-0.064252295,0.11280819,-0.0005021393
-0.034903135,-0.11912056,0.08441769,0.09264421,-0.013089838,-0.03834345,-0.09774227,0.0218093
-0.16040708,-0.100938275,0.0055875606,0.045550406,-0.17727171,0.051250115,-0.19921793,0.049252354
-0.03078054,-0.14301023,0.109968014,0.06099496,-0.0766035,0.15381142,-0.2577259,0.02877621
0.036911514,-0.13861488,0.28620464,-0.038077723,-0.028811026,-0.10147381,-0.13871405,-0.06984401
0.033616375,-0.11801001,0.17522101,0.31390652,-0.07403915,0.043997318,0.12843025,0.065853044
-0.12880678,-0.22035776,0.14926831,0.44503048,-0.48233092,0.36652216,0.020205174,-0.08496327
-0.20876645,0.02413274,0.026286984,0.35124665,-0.3961245,0.25961056,0.0840176,-0.031068299
0.15307203,-0.14644347,0.20809332,0.2441987,-0.13822232,-0.009369018,0.06884709,0.07700313
-0.19431317,-0.15246136,0.0048096403,0.285651,-0.14952593,0.17749599,0.026797121,0.10496104
-0.15078016,0.07054925,0.05423306,-0.011028731,-0.0906027,-0.076680355,0.11170514,0.16281566
-0.05518702,-0.15616637,0.2591225,-0.003162163,0.02568925,0.24465086,0.021713227,0.018729985
-0.26849303,-0.065937266,0.1898918,0.28646058,-0.2778719,0.024944076,0.017008422,-0.0133902775
0.058516774,-0.42001632,0.055578344,0.26100808,-0.2369359,0.23947665,-0.038977135,0.0220284
-0.07999036,0.046657227,0.1547698,0.024953034,-0.14662506,-0.15649098,0.03719556,0.095354006
-0.096657336,-0.17852603,0.0346806,0.110544026,-0.22089773,0.09860774,-0.11455071,0.03006743
-0.18082836,0.068196654,0.09735078,0.045389816,-0.30230787,0.38832575,-0.20217629,0.13051939
-0.10009646,0.06895195,0.12247833,0.12962045,-0.27841878,-0.04183404,0.056321237,0.070490114
-0.34557357,-0.14746857,0.2001159,0.068659954,-0.05948712,-0.26208887,0.11166789,0.13692665
-0.13043727,-0.11618698,0.20104803,0.28576535,-0.07574844,-0.18174496,0.35576552,0.17271891
-0.08684554,-0.2646961,0.32320783,0.47089502,-0.09083251,-0.111728005,-0.20967107,-0.019084858
-0.22197057,0.121689826,0.033994965,0.18074694,-0.30456445,0.04070538,0.06351008,0.083828636
-0.16625093,0.14473625,0.122548796,0.20674051,-0.0559918,-0.08804234,0.13965014,0.049494084
-0.13420229,-0.16477504,-0.048681244,-0.030533044,-0.049520068,-0.082200184,-0.26031062,0.107784554
-0.2228147,-0.32085896,-0.010722986,0.062321626,0.09252958,-0.0045653414,-0.26771426,0.079510435
0.07816494,-0.2515815,-0.09868428,0.16735438,-0.13189706,0.2686779,-0.18288268,0.012679001
-0.2811009,-0.12670954,0.09496728,0.04256983,0.05625916,0.045184556,-0.023703597,-0.0028970048
0.058822315,0.08439064,0.14803863,0.23476425,-0.35275972,-0.22517025,0.1827947,0.32049474
-0.041517165,-0.034669,0.05961424,0.28348133,-0.22946674,-0.0198833,0.09151883,0.01060794
-0.11907414,-0.075851634,0.16425034,0.25513715,-0.28242925,0.16788502,0.06987554,-0.07573515
0.042249963,-0.072958335,0.24486925,0.008214289,-0.083674766,0.01358938,-0.03182469,-0.039058622
-0.0780189,-0.110818975,0.17950332,0.5028272,-0.49499777,-0.08630202,0.10713999,0.13972853
0.051866338,0.05751841,0.15860784,0.21543637,-0.13971177,0.23713778,-0.15140435,0.007727246
-0.12861033,-0.12977315,0.124571115,0.1210429,-0.05313986,-0.1253559,-0.09240913,-0.020293146
-0.069687955,-0.28210115,0.4527582,0.11871004,-0.16596967,-0.16298887,-0.01580312,0.016670162
0.074122675,-0.12605946,0.16080464,0.29138175,-0.10561243,-0.15519439,0.12190423,0.036362905
-0.28202325,0.032196674,0.161855,0.25855285,-0.2905901,-0.023191663,-0.052475233,-0.048980944
-0.17234784,-0.0987431,0.066935085,0.22948495,-0.23198521,0.18692502,0.08618922,0.03170163
-0.047262922,-0.24600692,0.22158843,0.23499292,-0.0022416376,-0.08902131,0.034344543,0.1587949
-0.08108071,0.033280425,0.1647478,0.040892307,0.00948626,-0.050737742,-0.0034389514,0.100384176
-0.041096848,-0.08376829,0.025134306,0.12822947,-0.2660988,0.12435293,0.0027022595,0.025923843
0.0078075747,0.0083870115,0.18770985,0.18074293,-0.41752896,-0.13881935,0.08195633,0.019135486
0.086672574,-0.032458983,0.013950568,0.32941577,-0.37124938,-0.21367063,0.10332961,0.20868394
-0.1928796,-0.20481792,0.1065749,0.17131454,-0.13174558,-0.07804385,-0.1643022,0.060840014
-0.050258473,-0.20553485,0.13616842,0.53545856,-0.41030023,-0.2445129,0.10762972,-0.087685496
-0.15613322,0.39034832,0.14846912,0.5674998,-0.33182776,0.1657561,0.26003546,0.47052908
-0.05498165,-0.11263227,0.021717478,0.15580781,-0.012986496,0.10221292,0.0503953,6.0915947e-05
-0.09093359,-0.08656538,0.1558798,0.22667532,-0.111232795,0.09285495,0.17852518,0.032770682
-0.13732316,-0.059230726,0.022897964,0.17864537,-0.15078382,0.10708995,0.1874688,0.13479926
-0.09151088,0.10746422,0.11872407,0.4086143,-0.2748195,-0.06366378,0.11167204,0.21290696
-0.14073998,-0.20266427,0.0374583,0.16138266,-0.1126814,0.044158686,-0.21980302,-0.009319841
-0.08227502,-0.25030175,0.06202614,0.1707537,-0.22396633,-0.012764372,-0.025558224,-0.018394567
-0.1281482,-0.3255853,0.16857183,-0.032680888,-0.060515642,0.10914574,-0.31861755,0.13063587
-0.0745484,0.06655353,0.160087,0.19584845,-0.2289258,-0.13506955,0.04763441,0.086299315
-0.038010206,0.010209165,0.19893365,0.24810107,-0.27188885,0.13370258,-0.025807371,-0.084962904
0.0852348,0.25612706,0.29751882,0.113990046,-0.089323856,-0.23092978,0.12226221,0.20459001
-0.3188426,-0.3138451,0.16982464,0.22757585,-0.24266165,0.18880568,-0.18484661,0.010858944
0.017109504,-0.10309946,0.11372737,0.029431324,-0.08861625,0.032450534,-0.08655321,-0.009791326
0.039239313,0.2506054,0.09982295,0.5329566,-0.38024932,-0.03896286,0.10467301,0.13219379
0.0010370068,-0.0014599328,0.20919856,0.04521412,-0.03192408,-0.22813573,-0.022282979,-0.16394721
0.012297703,-0.16400045,0.08923134,0.20777091,-0.252463,0.27631265,-0.13671172,0.027270691
-0.13204062,0.029374609,0.047479004,0.104156606,-0.08742909,-0.010510292,0.033594403,0.106380135
0.05970597,-0.12521116,0.121790215,0.023215039,0.18261327,-0.16553092,-0.06042461,0.011563367
-0.1116074,-0.13570353,0.16570143,0.08185509,0.0961788,-0.0705583,-0.11143214,0.19166556
-0.01220186,-0.041661736,0.25451574,0.29088157,-0.22446552,0.11363243,-0.14832187,-0.11213754
-0.061867967,0.09731532,0.20325091,0.21328548,-0.22800027,-0.1572689,-0.11250961,-0.04654486
-0.04712606,-0.28568938,0.21439007,0.36008734,-0.55052847,-0.19425702,0.0630064,-0.050937474
-0.050420333,-0.13933559,0.047279898,0.10457046,-0.13383962,-0.0053566117,0.07535137,0.06480381
-0.10066718,-0.19935392,0.056620277,0.09350757,-0.017409243,0.13235682,-0.29269275,0.050542213
